Nível Hierárquico,Denominação Unidade,Código Unidade,Sigla Unidade,Data_Atualizacao,Subordinados_Diretos_Aprox
4,Coordenação-Geral de Inovação Aberta,123159,GNova InovaçãoAberta,2025-12-04,0
4,Coordenação-Geral de Inovação em Inteligência Artificial,478849,GNova LIIA,2025-12-04,0
3,Auditoria Interna,97466,Audin,2025-12-04,2
5,Coordenação de Administração de Pessoal,110170,Coap,2025-12-04,1
7,Serviço de Pagamento,315467,SEPAG,2025-12-04,0
6,Serviço de Acompanhamento Funcional,263647,Seaf,2025-12-04,0
5,Coordenação de Desenvolvimento de Pessoas,221446,CODEP,2025-12-04,0
5,Coordenação de Gestão Estratégica e Modernização,340423,COGEM,2025-12-04,0
4,Coordenação-Geral de Logística e Contratos,236659,CGLog,2025-12-04,5
5,Coordenação de Administração,236664,COADM,2025-12-04,1
6,Serviço de Logística,236663,Selog,2025-12-04,0
5,"Coordenação de Licitações, Compras e Contratos",237983,COLCC,2025-12-04,1
6,Divisão de Contratos,309011,DCON,2025-12-04,0
5,Coordenação de Finanças e Contabilidade,236657,CFC,2025-12-04,1
6,Serviço de Contabilidade,299658,Secon,2025-12-04,0
5,Coordenação de Orçamento,263780,COR,2025-12-04,0
5,Coordenação de Projetos de Captação,472789,CCAP,2025-12-04,0
4,Coordenação-Geral de Tecnologia da Informação,18552,CGTI,2025-12-04,0
2,Instituto Nacional de Tecnologia da Informação,47388,ITI,2025-12-04,5
3,Gabinete,72607,GABIN,2025-12-04,0
3,"Diretoria de Auditoria, Fiscalização e Normalização",73264,DAFN,2025-12-04,1
5,Coordenação de Auditoria e Credenciamento,304749,COAUC,2025-12-04,0
5,Coordenação de Controle da CIN,421429,CCCIN,2025-12-04,0
5,Coordenação de Fiscalização e Combate à Fraude,304753,COFIC,2025-12-04,0
5,Coordenação de Inteligência e Análise Preditiva,304754,COIAP,2025-12-04,0
4,Coordenação-Geral de Normalização e Pesquisa,59371,CGNPE,2025-12-04,0
3,Diretoria de Infraestrutura Tecnológica,57953,DITEC,2025-12-04,2
4,Coordenação-Geral de Infraestrutura e Segurança,73261,CGISE,2025-12-04,0
4,Coordenação-Geral de Operações,59367,CGOPE,2025-12-04,0
3,Diretoria de Tecnologias de Identificação,418372,DITI,2025-12-04,0
3,"Diretoria de Planejamento, Orçamento e Administração",418373,DPOA,2025-12-04,1
5,Coordenação de Tecnologia da Informação e Comunicação,73258,COTIC,2025-12-04,0
4,Divisão de Assuntos Finalísticos,304575,DIAFI,2025-12-04,0
